index,age,quantity,unit_price,discount_pct,sales_amount,profit,shipping_cost,customer_satisfaction,days_to_ship,profit_margin_pct
age,1.0,0.0014725545964184314,-0.026831554914318757,0.005072466594891799,-0.011622354759568626,-0.0016261942650823567,-0.01650963253336496,-0.026743339612765343,0.019615521778937137,-0.005532277412499393
quantity,0.0014725545964184314,1.0,0.02850358638938877,0.017006848711709672,0.2849575078964362,0.32566678922997194,0.00010013505632458962,-0.018494260905233283,-0.006033800690514945,-0.00655963087671395
unit_price,-0.026831554914318757,0.02850358638938877,1.0,-0.023251467769320428,0.8523932304046722,0.6919599978202219,0.011937358826816688,-0.021191957868234357,0.010009222434770572,-0.3075215168182903
discount_pct,0.005072466594891799,0.017006848711709672,-0.023251467769320428,1.0,-0.09019530512457842,-0.0986088792440141,-0.01818891466276384,-0.007854595577828596,0.0033271772321267863,0.00940597724634634
sales_amount,-0.011622354759568626,0.2849575078964362,0.8523932304046722,-0.09019530512457842,1.0,0.8491371325712213,0.019778911501676294,-0.033881209942298686,0.003078798810900746,-0.25689958938381086
profit,-0.0016261942650823567,0.32566678922997194,0.6919599978202219,-0.0986088792440141,0.8491371325712213,1.0,0.014763609957749904,-0.03554451121928026,-0.00749989646571436,-0.058944885240093454
shipping_cost,-0.01650963253336496,0.00010013505632458962,0.011937358826816688,-0.01818891466276384,0.019778911501676294,0.014763609957749904,1.0,0.009627915569543623,0.006855335810294861,0.01734430364367011
customer_satisfaction,-0.026743339612765343,-0.018494260905233283,-0.021191957868234357,-0.007854595577828596,-0.033881209942298686,-0.03554451121928026,0.009627915569543623,1.0,-0.01143415520205623,0.03507689876702441
days_to_ship,0.019615521778937137,-0.006033800690514945,0.010009222434770572,0.0033271772321267863,0.003078798810900746,-0.00749989646571436,0.006855335810294861,-0.01143415520205623,1.0,0.01173096852528162
profit_margin_pct,-0.005532277412499393,-0.00655963087671395,-0.3075215168182903,0.00940597724634634,-0.25689958938381086,-0.058944885240093454,0.01734430364367011,0.03507689876702441,0.01173096852528162,1.0
